,Year,Countries,Countries Code,Movies Produced
0,1916,[United States],[USA],[1]
1,1925,[United States],[USA],[1]
2,1927,[Germany],[DEU],[1]
3,1929,"[Germany, United States]","[DEU, USA]","[1, 1]"
4,1930,[United States],[USA],[1]
5,1932,[United States],[USA],[1]
6,1933,[United States],[USA],[2]
7,1934,[United States],[USA],[1]
8,1935,[United States],[USA],[1]
9,1936,[United States],[USA],[2]
10,1937,[United States],[USA],[2]
11,1938,[United States],[USA],[2]
12,1939,[United States],[USA],[3]
13,1940,"[United States, United Kingdom]","[USA, GBR]","[7, 1]"
14,1941,[United States],[USA],[1]
15,1942,[United States],[USA],[3]
16,1944,[United States],[USA],[2]
17,1945,[United States],[USA],[4]
18,1946,[United States],[USA],[3]
19,1947,[United States],[USA],[3]
20,1948,[United States],[USA],[3]
21,1949,[United States],[USA],[2]
22,1950,[United States],[USA],[1]
23,1951,[United States],[USA],[3]
24,1952,[United States],[USA],[4]
25,1953,[United States],[USA],[3]
26,1954,"[Japan, United States]","[JPN, USA]","[1, 2]"
27,1955,"[Denmark, United States]","[DNK, USA]","[1, 1]"
28,1956,[United States],[USA],[3]
29,1957,"[United Kingdom, United States]","[GBR, USA]","[1, 2]"
30,1958,[United States],[USA],[2]
31,1959,[United States],[USA],[3]
32,1960,"[India, United States]","[IND, USA]","[1, 3]"
33,1961,"[Germany, United States]","[DEU, USA]","[1, 5]"
34,1962,"[United Kingdom, Jamaica, United States]","[GBR, JAM, USA]","[4, 1, 6]"
35,1963,"[United Kingdom, Switzerland, United States]","[GBR, CHE, USA]","[3, 1, 6]"
36,1964,"[Italy, Germany, Spain, United Kingdom, United States, France]","[ITA, DEU, ESP, GBR, USA, FRA]","[1, 1, 1, 3, 9, 2]"
37,1965,"[United States, Italy, United Kingdom, Liechtenstein, France, Bahamas]","[USA, ITA, GBR, LIE, FRA, BHS]","[8, 3, 3, 1, 2, 1]"
38,1966,"[United Kingdom, United States]","[GBR, USA]","[2, 3]"
39,1967,"[France, United States, Germany, United Kingdom]","[FRA, USA, DEU, GBR]","[1, 3, 1, 1]"
40,1968,"[United Kingdom, Italy, United States, Spain, Germany]","[GBR, ITA, USA, ESP, DEU]","[2, 1, 10, 1, 1]"
41,1969,"[Italy, France, United Kingdom, United States]","[ITA, FRA, GBR, USA]","[2, 1, 1, 7]"
42,1970,"[Italy, Germany, France, Japan, Russia, United States]","[ITA, DEU, FRA, JPN, RUS, USA]","[2, 1, 1, 1, 1, 10]"
43,1971,"[United Kingdom, United States, Sweden, Germany, Germany]","[GBR, USA, SWE, DEU, DEU]","[1, 12, 1, 1, 1]"
44,1972,"[Sweden, United Kingdom, Russia, United States]","[SWE, GBR, RUS, USA]","[1, 1, 1, 6]"
45,1973,"[United Kingdom, United States]","[GBR, USA]","[1, 9]"
46,1974,"[United Arab Emirates, United States, United Kingdom]","[ARE, USA, GBR]","[1, 9, 1]"
47,1975,"[United Kingdom, United States]","[GBR, USA]","[3, 5]"
48,1976,"[United States, United Kingdom, Nigeria]","[USA, GBR, NGA]","[11, 2, 1]"
49,1977,"[United States, United Kingdom]","[USA, GBR]","[15, 5]"
50,1978,"[United Kingdom, United States]","[GBR, USA]","[4, 15]"
51,1979,"[United Kingdom, United States, Australia, France]","[GBR, USA, AUS, FRA]","[4, 18, 1, 1]"
52,1980,"[Philippines, Canada, United States, United Kingdom]","[PHL, CAN, USA, GBR]","[1, 1, 23, 4]"
53,1981,"[United Kingdom, Germany, Czech Republic, Canada, South Korea, Libyan Arab Jamahiriya, Australia, France, Netherlands, United States, Italy]","[GBR, DEU, CZE, CAN, KOR, LBY, AUS, FRA, NLD, USA, ITA]","[4, 2, 1, 3, 1, 1, 1, 1, 1, 28, 1]"
54,1982,"[Hong Kong, United Kingdom, Canada, India, United States, Australia]","[HKG, GBR, CAN, IND, USA, AUS]","[2, 2, 1, 1, 22, 1]"
55,1983,"[Canada, Brazil, Spain, United Kingdom, Italy, Germany, United States]","[CAN, BRA, ESP, GBR, ITA, DEU, USA]","[3, 1, 1, 6, 1, 1, 20]"
56,1984,"[United Kingdom, United States, Italy, Canada, Germany]","[GBR, USA, ITA, CAN, DEU]","[4, 35, 2, 1, 1]"
57,1985,"[United Kingdom, France, Iceland, Japan, Canada, Australia, Netherlands, United States]","[GBR, FRA, ISL, JPN, CAN, AUS, NLD, USA]","[6, 2, 1, 1, 1, 1, 1, 22]"
58,1986,"[United Kingdom, Canada, Australia, United States, Japan]","[GBR, CAN, AUS, USA, JPN]","[7, 2, 1, 26, 1]"
59,1987,"[United Kingdom, United States, Italy, France, China]","[GBR, USA, ITA, FRA, CHN]","[7, 29, 2, 2, 1]"
60,1988,"[Japan, United States, Canada, Australia, United Kingdom, Ireland]","[JPN, USA, CAN, AUS, GBR, IRL]","[1, 35, 3, 1, 1, 1]"
61,1989,"[United Kingdom, United States, Australia]","[GBR, USA, AUS]","[3, 33, 1]"
62,1990,"[United States, United Kingdom, Australia, Norway, Sweden, Italy, Mexico]","[USA, GBR, AUS, NOR, SWE, ITA, MEX]","[35, 2, 1, 2, 1, 2, 1]"
63,1991,"[United States, Switzerland, France, Fiji, Hong Kong, Luxembourg]","[USA, CHE, FRA, FJI, HKG, LUX]","[34, 1, 3, 1, 2, 1]"
64,1992,"[United Kingdom, Mexico, Australia, United States, Japan, France, Ireland]","[GBR, MEX, AUS, USA, JPN, FRA, IRL]","[8, 1, 1, 37, 4, 1, 1]"
65,1993,"[United States, Italy, France, Japan, Chile, United Kingdom, Hong Kong, New Zealand, Australia]","[USA, ITA, FRA, JPN, CHL, GBR, HKG, NZL, AUS]","[53, 1, 6, 2, 1, 6, 1, 1, 1]"
66,1994,"[Japan, United States, Mexico, Canada, United Kingdom, New Zealand, France, Spain, Germany, Hong Kong, South Africa, Peru]","[JPN, USA, MEX, CAN, GBR, NZL, FRA, ESP, DEU, HKG, ZAF, PER]","[3, 60, 1, 4, 4, 1, 1, 1, 1, 1, 1, 1]"
67,1995,"[France, Australia, United States, United Kingdom, Austria, Switzerland, Germany, Italy, Hong Kong, Japan]","[FRA, AUS, USA, GBR, AUT, CHE, DEU, ITA, HKG, JPN]","[5, 1, 79, 6, 1, 1, 1, 1, 1, 1]"
68,1996,"[United Kingdom, Canada, Hungary, United States, India, Japan, Germany, Australia, Ireland, Philippines, Czech Republic, France, Netherlands]","[GBR, CAN, HUN, USA, IND, JPN, DEU, AUS, IRL, PHL, CZE, FRA, NLD]","[9, 2, 1, 100, 1, 1, 4, 3, 1, 1, 1, 3, 1]"
69,1997,"[United Kingdom, Canada, United States, Germany, Brazil, Peru, Netherlands, Belgium, Iran, Australia, Japan, Hong Kong, Denmark, Sweden, France, Italy, Spain, New Zealand, Switzerland, China]","[GBR, CAN, USA, DEU, BRA, PER, NLD, BEL, IRN, AUS, JPN, HKG, DNK, SWE, FRA, ITA, ESP, NZL, CHE, CHN]","[12, 6, 116, 8, 2, 1, 1, 1, 1, 3, 4, 1, 1, 1, 4, 1, 1, 1, 1, 1]"
70,1998,"[United States, United Kingdom, Australia, Canada, Brazil, Germany, India, Denmark, France, New Zealand, Spain, Japan, Aruba, Hong Kong, Italy, Argentina, Sweden, Mexico]","[USA, GBR, AUS, CAN, BRA, DEU, IND, DNK, FRA, NZL, ESP, JPN, ABW, HKG, ITA, ARG, SWE, MEX]","[129, 14, 3, 11, 1, 6, 3, 2, 7, 3, 2, 2, 1, 2, 2, 1, 1, 1]"
71,1999,"[United States, Canada, United Kingdom, Australia, Germany, Ireland, Malaysia, Mexico, France, Japan, Hungary, Spain, Czech Republic, Italy, Portugal, Luxembourg]","[USA, CAN, GBR, AUS, DEU, IRL, MYS, MEX, FRA, JPN, HUN, ESP, CZE, ITA, PRT, LUX]","[172, 11, 20, 6, 8, 2, 1, 3, 6, 1, 1, 2, 1, 1, 1, 1]"
72,2000,"[United States, United Kingdom, Norway, Sweden, Canada, Mexico, Germany, France, Japan, Argentina, Denmark, Finland, Iceland, Italy, Netherlands, India, Australia, Spain, Hong Kong, Switzerland, Egypt, Iran, New Zealand, Pakistan, Indonesia]","[USA, GBR, NOR, SWE, CAN, MEX, DEU, FRA, JPN, ARG, DNK, FIN, ISL, ITA, NLD, IND, AUS, ESP, HKG, CHE, EGY, IRN, NZL, PAK, IDN]","[168, 20, 2, 2, 9, 1, 22, 10, 5, 2, 2, 1, 1, 1, 3, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1]"
73,2001,"[Germany, Austria, Hungary, United States, Canada, France, India, Switzerland, United Kingdom, Ireland, Australia, Norway, Japan, Italy, Czech Republic, Spain, China, Hong Kong, Thailand, New Zealand, Mexico, Luxembourg]","[DEU, AUT, HUN, USA, CAN, FRA, IND, CHE, GBR, IRL, AUS, NOR, JPN, ITA, CZE, ESP, CHN, HKG, THA, NZL, MEX, LUX]","[22, 1, 1, 192, 12, 11, 3, 2, 23, 3, 8, 1, 5, 4, 1, 3, 1, 1, 1, 1, 3, 1]"
74,2002,"[United Kingdom, France, Italy, United States, Australia, Germany, Romania, Canada, India, Ireland, Brazil, Spain, Luxembourg, Switzerland, Mexico, Argentina, Hong Kong, China, Denmark, Sweden, Japan, Czech Republic, Netherlands, New Zealand, Poland, Belgium, United Arab Emirates]","[GBR, FRA, ITA, USA, AUS, DEU, ROU, CAN, IND, IRL, BRA, ESP, LUX, CHE, MEX, ARG, HKG, CHN, DNK, SWE, JPN, CZE, NLD, NZL, POL, BEL, ARE]","[28, 18, 5, 204, 10, 32, 1, 17, 3, 2, 1, 2, 1, 1, 2, 1, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
75,2003,"[Canada, Germany, United Kingdom, Netherlands, France, United States, Italy, Romania, Australia, Luxembourg, Spain, Japan, India, South Korea, Afghanistan, Ireland, Hong Kong, New Zealand, Czech Republic, Russia, Belgium, Bhutan, Hungary]","[CAN, DEU, GBR, NLD, FRA, USA, ITA, ROU, AUS, LUX, ESP, JPN, IND, KOR, AFG, IRL, HKG, NZL, CZE, RUS, BEL, BTN, HUN]","[21, 22, 26, 2, 13, 173, 4, 1, 11, 1, 3, 5, 1, 2, 1, 3, 2, 3, 1, 1, 1, 1, 1]"
76,2004,"[Germany, Hong Kong, China, France, Italy, United States, Canada, Netherlands, United Kingdom, Ireland, Sweden, Czech Republic, Austria, Luxembourg, Guyana, Morocco, South Africa, Japan, Belgium, Argentina, Ecuador, Colombia, Finland, Russia, Romania, South Korea, Spain, Switzerland, Australia, Malta, India]","[DEU, HKG, CHN, FRA, ITA, USA, CAN, NLD, GBR, IRL, SWE, CZE, AUT, LUX, GUY, MAR, ZAF, JPN, BEL, ARG, ECU, COL, FIN, RUS, ROU, KOR, ESP, CHE, AUS, MLT, IND]","[34, 4, 4, 20, 7, 193, 15, 3, 44, 5, 1, 3, 1, 2, 1, 1, 1, 4, 1, 2, 1, 1, 1, 1, 1, 1, 5, 1, 1, 1, 1]"
77,2005,"[United Kingdom, Canada, Germany, Czech Republic, United States, France, Australia, India, Denmark, Belgium, Italy, Netherlands, South Africa, Hungary, Israel, China, Japan, Norway, Romania, New Zealand, Morocco, Spain, Sweden, Ireland, Luxembourg, Russia, Kazakhstan, Cameroon, South Korea, Qatar, Syria, Brazil, Nigeria, Mexico, Egypt, Thailand, Switzerland]","[GBR, CAN, DEU, CZE, USA, FRA, AUS, IND, DNK, BEL, ITA, NLD, ZAF, HUN, ISR, CHN, JPN, NOR, ROU, NZL, MAR, ESP, SWE, IRL, LUX, RUS, KAZ, CMR, KOR, QAT, SYR, BRA, NGA, MEX, EGY, THA, CHE]","[45, 18, 37, 6, 209, 24, 4, 2, 4, 2, 3, 2, 4, 1, 1, 4, 4, 1, 1, 2, 1, 2, 1, 1, 1, 2, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1]"
78,2006,"[United States, Germany, Spain, Australia, France, Mexico, Japan, United Kingdom, Netherlands, Canada, India, Kazakhstan, Czech Republic, Bahamas, Italy, South Africa, China, Hong Kong, Switzerland, Hungary, Slovakia, Jamaica, Dominica, Luxembourg, Israel, Malta, Ireland, Belgium, Poland, Turkey]","[USA, DEU, ESP, AUS, FRA, MEX, JPN, GBR, NLD, CAN, IND, KAZ, CZE, BHS, ITA, ZAF, CHN, HKG, CHE, HUN, SVK, JAM, DMA, LUX, ISR, MLT, IRL, BEL, POL, TUR]","[233, 28, 6, 6, 21, 6, 6, 43, 1, 10, 6, 1, 4, 2, 3, 2, 4, 5, 2, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
79,2007,"[Spain, United Kingdom, United States, New Zealand, Canada, France, Pakistan, Sweden, Ireland, Romania, Germany, India, Lebanon, Japan, Australia, South Korea, Brazil, Austria, Italy, Belgium, South Africa, Czech Republic, Russia, Kazakhstan, China, Hong Kong, Iceland, Bosnia and Herzegovina, Tunisia, Mexico, Luxembourg]","[ESP, GBR, USA, NZL, CAN, FRA, PAK, SWE, IRL, ROU, DEU, IND, LBN, JPN, AUS, KOR, BRA, AUT, ITA, BEL, ZAF, CZE, RUS, KAZ, CHN, HKG, ISL, BIH, TUN, MEX, LUX]","[5, 39, 187, 2, 17, 15, 1, 1, 4, 1, 14, 5, 1, 1, 6, 1, 1, 1, 4, 1, 2, 1, 1, 1, 3, 2, 1, 1, 1, 1, 1]"
80,2008,"[United States, Germany, Israel, Belgium, France, Italy, Spain, Australia, United Kingdom, Czech Republic, Hungary, Slovakia, Mexico, Brazil, Canada, Japan, Hong Kong, Bahamas, South Africa, Denmark, Finland, Norway, Sweden, Russia, China, Romania, Thailand, India, Poland, Slovenia, South Korea, Lithuania, Netherlands]","[USA, DEU, ISR, BEL, FRA, ITA, ESP, AUS, GBR, CZE, HUN, SVK, MEX, BRA, CAN, JPN, HKG, BHS, ZAF, DNK, FIN, NOR, SWE, RUS, CHN, ROU, THA, IND, POL, SVN, KOR, LTU, NLD]","[229, 33, 2, 2, 14, 2, 4, 7, 44, 5, 1, 1, 3, 1, 15, 3, 2, 1, 2, 2, 1, 1, 1, 2, 6, 1, 2, 4, 1, 1, 1, 1, 1]"
